Fecha,Nivel
2014-01-01,0.7
2014-02-01,1.17
2014-03-01,1.0
2014-04-01,2.5
2014-05-01,4.4
2014-06-01,5.36
2014-07-01,6.97
2014-08-01,5.64
2014-09-01,5.0
2014-10-01,4.52
2014-11-01,4.51
2014-12-01,3.48
2015-01-01,1.9
2015-02-01,1.91
2015-03-01,2.6
2015-04-01,2.5
2015-05-01,3.8
2015-06-01,5.08
2015-07-01,4.82
2015-08-01,4.15
2015-09-01,3.2
2015-10-01,3.1
2015-11-01,3.12
2015-12-01,4.9
2016-01-01,6.5
2016-02-01,5.92
2016-03-01,5.96
2016-04-01,5.63
2016-05-01,5.28
2016-06-01,4.93
2016-07-01,3.55
2016-08-01,3.08
2016-09-01,2.45
2016-10-01,1.8
2016-11-01,1.55
2016-12-01,1.45
2017-01-01,1.32
2017-02-01,1.36
2017-03-01,1.62
2017-04-01,1.72
2017-05-01,3.12
2017-06-01,4.68
2017-07-01,3.35
2017-08-01,3.09
2017-09-01,2.61
2017-10-01,2.04
2017-11-01,2.4
2017-12-01,2.61
2018-01-01,3.72
2018-02-01,4.99
2018-03-01,5.01
2018-04-01,4.8
2018-05-01,4.21
2018-06-01,4.32
2018-07-01,3.93
2018-08-01,3.77
2018-09-01,3.71
2018-10-01,4.04
2018-11-01,5.67
2018-12-01,4.45
2019-01-01,2.7
2019-02-01,2.08
2019-03-01,2.23
2019-04-01,5.71
2019-05-01,6.65
2019-06-01,5.94
2019-07-01,4.11
2019-08-01,2.71
2019-09-01,1.8
2019-10-01,1.01
2019-11-01,0.67
2019-12-01,0.74
2020-01-01,1.8
2020-02-01,1.43
2020-03-01,0.9
2020-04-01,0.86
2020-05-01,0.78
2020-06-01,1.04
2020-07-01,0.69
2020-08-01,0.4
2020-09-01,-0.18
2020-10-01,-0.54
2020-11-01,-0.43
2020-12-01,0.27
2021-01-01,0.55
2021-02-01,2.73
2021-03-01,1.42
2021-04-01,1.2
2021-05-01,0.73
2021-06-01,0.68
2021-07-01,0.34
2021-08-01,-0.17
2021-09-01,-0.73
2021-10-01,-0.75
2021-11-01,-0.28
2021-12-01,-0.36
2022-01-01,-0.38
2022-02-01,-0.2
2022-03-01,0.12
2022-04-01,0.91
2022-05-01,1.57
2022-06-01,1.55
2022-07-01,0.85
2022-08-01,0.76
2022-09-01,0.2
2022-10-01,0.52
2022-11-01,2.61
2022-12-01,-0.17
2023-01-01,-0.25
2023-02-01,0.15
2023-03-01,2.82
2023-04-01,3.96
2023-05-01,3.33
2023-06-01,2.65
2023-07-01,2.25
2023-08-01,2.13
2023-09-01,1.83
2023-10-01,0.73
2023-11-01,0.75
2023-12-01,1.3
2024-01-01,0.15
2024-02-01,-0.31
2024-03-01,-0.31
2024-04-01,-0.37
2024-05-01,0.78
2024-06-01,0.29
2024-07-01,-0.35
2024-08-01,-0.74
2024-09-01,-1.24
2024-10-01,-1.57
2024-11-01,-1.61
2024-12-01,-0.95
2025-01-01,-0.27
2025-02-01,-0.2
2025-03-01,-0.21
2025-04-01,0.33
2025-05-01,2.64
2025-06-01,3.45
2025-07-01,2.09
2025-08-01,1.93
2025-09-01,1.14
2025-10-01,0.85
2025-11-01,1.09
2025-12-01,1.02
2026-01-01,1.43
2026-02-01,1.49
2026-03-01,1.35
2026-04-01,1.69
2026-05-01,3.13
2026-06-01,3.57
2026-07-01,3.07
2026-08-01,2.46
2026-09-01,1.6
2026-10-01,1.28
2026-11-01,1.45
2026-12-01,1.38
2027-01-01,1.75
2027-02-01,1.78
2027-03-01,1.61
2027-04-01,1.94
2027-05-01,3.35
2027-06-01,3.77
2027-07-01,3.78
